diagnosis_type	diagnosis_code	diagnosis_description	icd9cm	icd10cm	flags
ICD9	789.09	ABDOMINAL PAIN, OTHER SPECIFIED SITE; MULTIPLE SITES	78909	R1030	10000
ICD9	654.42	OTHER ABNORMALITIES IN SHAPE OR POSITION OF GRAVID UTERUS AND OF NEIGHBORING STRUCTURES, DELIVERED, WITH MENTION OF POSTPARTUM COMPLICATION	65442	O34593	10000
ICD9	208.90	Unspecified leukemia without mention of having achieved remission	20890	C9590	10000
ICD9	426.2	LEFT BUNDLE BRANCH HEMIBLOCK	4262	I445	10000
ICD9	360.21	PROGRESSIVE HIGH (DEGENERATIVE) MYOPIA	36021	H442E9	10000
ICD9	996.57	Mechanical complication due to insulin pump	99657	T85694A	10000
ICD9	712.2	CHONDROCALCINOSIS DUE TO PYROPHOSPHATE CRYSTALS	71220	M1180	10000
ICD9	429.82	HYPERKINETIC HEART DISEASE	42982	I5189	10000
ICD9	200.0	RETICULOSARCOMA	20000	C8339	10000
ICD9	906.3	LATE EFFECT OF CONTUSION	9063	S300XXS	10000
ICD9	017.31	TUBERCULOSIS OF EYE, BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE	01731	A1851	10000
ICD9	989.5	TOXIC EFFECT OF VENOM	9895	T63393A	10000
ICD9	956.5	INJURY TO OTHER SPECIFIED NERVE(S) OF PELVIC GIRDLE AND LOWER LIMB	9565	S948X9A	10000
ICD9	864.11	HEMATOMA AND CONTUSION OF LIVER WITH OPEN WOUND INTO CAVITY	86411	S36112A	10111
ICD9	V15.1	PERSONAL HISTORY OF SURGERY TO HEART AND GREAT VESSELS, PRESENTING HAZARDS TO HEALTH	V151	Z98890	10000
ICD9	806.02	CLOSED FRACTURE OF C(1)-C(4) LEVEL WITH ANTERIOR CORD SYNDROME	80602	S12100A	10122
ICD9	234.9	CARCINOMA IN SITU, SITE UNSPECIFIED	2349	D099	00000
ICD9	625.1	VAGINISMUS	6251	N942	00000
ICD9	989.6	TOXIC EFFECT OF SOAPS AND DETERGENTS	9896	T551X1A	10000
ICD9	519.4	DISORDERS OF DIAPHRAGM	5194	J986	00000
ICD9	764.03	'LIGHT-FOR-DATES' WITHOUT MENTION OF FETAL MALNUTRITION, 750-999 GRAMS	76403	P0513	10000
ICD9	160	MALIGNANT NEOPLASM OF NASAL CAVITIES, MIDDLE EAR, AND ACCESSORY SINUSES	1600	C300	00000
ICD9	V72.1	EXAMINATION OF EARS AND HEARING	V7219	Z01118	10000
ICD9	943.20	BLISTERS WITH EPIDERMAL LOSS DUE TO BURN [SECOND DEGREE] OF UNSPECIFIED SITE OF UPPER LIMB	94320	T2220XA	10000
ICD9	753.6	ATRESIA AND STENOSIS OF URETHRA AND BLADDER NECK, CONGENITAL	7536	Q642	10000
ICD9	774.1	PERINATAL JAUNDICE FROM OTHER EXCESSIVE HEMOLYSIS	7741	P580	10000
ICD9	800.16	CLOSED FRACTURE OF VAULT OF SKULL WITH CEREBRAL LACERATION AND CONTUSION, WITH LOSS OF CONSCIOUSNESS OF UNSPECIFIED DURATION	80016	S06339A	10112
ICD9	593.81	VASCULAR DISORDERS OF KIDNEY	59381	N280	10000
ICD9	302.9	UNSPECIFIED PSYCHOSEXUAL DISORDER	3029	F659	10000
ICD9	941.48	DEEP NECROSIS OF UNDERLYING TISSUES DUE TO BURN [DEEP THIRD DEGREE] OF NECK, WITHOUT MENTION OF LOSS OF NECK	94148	T2037XA	10000
ICD9	345.8	Other forms of epilepsy and recurrent seizures	34580	G40101	10000
ICD9	V68.01	Disability examination	V6801	Z0271	00000
ICD9	866.12	LACERATION OF KIDNEY WITH OPEN WOUND INTO CAVITY	86612	S37049A	10111
ICD9	E007.5	Activities Involving Soccer	E0075	Y9366	00000
ICD9	093.0	ANEURYSM OF AORTA, SPECIFIED AS SYPHILITIC	0930	A5201	00000
ICD9	387.2	COCHLEAR OTOSCLEROSIS	3872	H8023	10000
ICD9	E999.0	LATE EFFECT OF INJURY DUE TO WAR OPERATIONS	E9990	Y36321S	10000
ICD9	629.0	HEMATOCELE, FEMALE, NOT ELSEWHERE CLASSIFIED	6290	N9489	10000
ICD9	989.5	TOXIC EFFECT OF VENOM	9895	T6394XA	10000
ICD9	648.31	Drug dependence complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition	64831	O99323	10000
ICD9	072.71	MUMPS HEPATITIS	07271	B2681	00000
ICD9	386.35	VIRAL LABYRINTHITIS	38635	H8309	10000
ICD9	666.14	Other immediate postpartum hemorrhage, postpartum condition or complication	66614	O721	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S99149D	10000
ICD9	989.5	TOXIC EFFECT OF VENOM	9895	T63412A	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S92525D	10000
ICD9	532.41	CHRONIC OR UNSPECIFIED DUODENAL ULCER WITH HEMORRHAGE, WITH OBSTRUCTION	53241	K264	10111
ICD9	E940.9	UNSPECIFIED CENTRAL NERVOUS SYSTEM STIMULANT CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE	E9409	NoDx	11000
ICD9	410.41	ACUTE MYOCARDIAL INFARCTION, OF OTHER INFERIOR WALL, INITIAL EPISODE OF CARE	41041	I2119	10000
ICD9	364.8	OTHER DISORDERS OF IRIS AND CILIARY BODY	36489	H2189	10000
ICD9	738.3	ACQUIRED DEFORMITY OF CHEST AND RIB	7383	M954	10000
ICD9	573.0	CHRONIC PASSIVE CONGESTION OF LIVER	5730	K761	00000
ICD9	202.64	MALIGNANT MAST CELL TUMORS INVOLVING LYMPH NODES OF AXILLA AND UPPER LIMB	20264	C9620	10000
ICD9	E855.3	ACCIDENTAL POISONING BY PARASYMPATHOMIMETICS [CHOLINERGICS]	E8553	NoDx	11000
ICD9	E919.3	ACCIDENTS CAUSED BY METALWORKING MACHINES	E9193	W311XXA	10000
ICD9	E816.8	MOTOR VEHICLE TRAFFIC ACCIDENT DUE TO LOSS OF CONTROL, WITHOUT COLLISION ON THE HIGHWAY, INJURING OTHER SPECIFIED PERSON	E8168	V487XXA	10000
ICD9	711.50	ARTHROPATHY, SITE UNSPECIFIED, ASSOCIATED WITH OTHER VIRAL DISEASES	71150	M01X0	10000
ICD9	976	POISONING BY AGENTS PRIMARILY AFFECTING SKIN AND MUCOUS MEMBRANE, OPHTHALMOLOGICAL, OTORHINOLARYNGOLOGICAL, AND DENTAL DRUGS	9760	T490X2A	10000
ICD9	943.25	BLISTERS WITH EPIDERMAL LOSS DUE TO BURN [SECOND DEGREE] OF SHOULDER	94325	T22259A	10000
ICD9	E911	INHALATION AND INGESTION OF FOOD CAUSING OBSTRUCTION OF RESPIRATORY TRACT OR SUFFOCATION	E911	NoDx	11000
ICD9	982.3	TOXIC EFFECT OF OTHER CHLORINATED HYDROCARBON SOLVENTS	9823	T534X4A	10000
ICD9	640.90	Unspecified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable	64090	O209	10000
ICD9	995.29	Unspecified adverse effect of other drug, medicinal and biological substance	99529	T453X5A	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S92123D	10000
ICD9	V77.6	SCREENING FOR CYSTIC FIBROSIS	V776	Z13228	10000
ICD9	961.9	POISONING BY OTHER AND UNSPECIFIED ANTI-INFECTIVES	9619	T378X4A	10000
ICD9	379.04	SCLEROMALACIA PERFORANS	37904	H15059	10000
ICD9	300.12	Dissociative amnesia	30012	F440	00000
ICD9	989.5	TOXIC EFFECT OF VENOM	9895	T63014A	10000
ICD9	658.21	Delayed delivery after spontaneous or unspecified rupture of membranes, delivered, with or without mention of antepartum condition	65821	O4210	10000
ICD9	370.9	UNSPECIFIED KERATITIS	3709	H169	00000
ICD9	284.12	Other Drug Induced Pancytopenia	28412	D61811	00000
ICD9	851.59	CEREBELLAR OR BRAIN STEM CONTUSION WITH OPEN INTRACRANIAL WOUND, WITH CONCUSSION, UNSPECIFIED	85159	S06380A	10111
ICD9	410.81	ACUTE MYOCARDIAL INFARCTION, OF OTHER SPECIFIED SITES, INITIAL EPISODE OF CARE	41081	I2129	10000
ICD9	633.10	TUBAL PREGNANCY WITHOUT INTRAUTERINE PREGNANCY	63310	O00101	10000
ICD9	360.81	LUXATION OF GLOBE	36081	H44829	10000
ICD9	027.0	LISTERIOSIS	0270	A3212	10000
ICD9	665.60	Obstetrical damage to pelvic joints and ligaments, unspecified as to episode of care or not applicable	66560	O716	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S92041D	10000
ICD9	665.71	Obstetrical pelvic hematoma, delivered, with or without mention of antepartum condition	66571	O717	10000
ICD9	526.5	ALVEOLITIS OF JAW	5265	M273	00000
ICD9	539.01	Infection Due to Gastric Band Procedure	53901	K9501	00000
ICD9	602.0	CALCULUS OF PROSTATE	6020	N420	00000
ICD9	911.8	OTHER AND UNSPECIFIED SUPERFICIAL INJURY OF TRUNK, WITHOUT MENTION OF INFECTION	9118	S3091XA	10000
ICD9	954.8	INJURY TO OTHER SPECIFIED NERVE(S) OF TRUNK, EXCLUDING SHOULDER AND PELVIC GIRDLES	9548	S243XXA	10000
ICD9	790.29	Other abnormal glucose	79029	R7309	10000
ICD9	989.5	TOXIC EFFECT OF VENOM	9895	T632X4A	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S99212D	10000
ICD9	E999.1	LATE EFFECT OF INJURY DUE TO TERRORISM	E9991	Y38892S	10000
ICD9	368.43	SECTOR OR ARCUATE VISUAL FIELD DEFECTS	36843	H53439	10000
ICD9	905.2	LATE EFFECT OF FRACTURE OF UPPER EXTREMITIES	9052	S4290XS	10000
ICD9	780.99	OTHER GENERAL SYMPTOMS	78099	R4584	10000
ICD9	757.5	SPECIFIED CONGENITAL ANOMALIES OF NAILS	7575	Q844	10000
ICD9	635.92	LEGALLY INDUCED ABORTION, COMPLETE, WITHOUT MENTION OF COMPLICATION	63592	Z332	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S52355D	10000
ICD9	205.02	Acute myeloid leukemia in relapse	20502	C9202	10000
ICD9	998.13	SEROMA COMPLICATING A PROCEDURE	99813	J95863	10000
ICD9	E853.8	ACCIDENTAL POISONING BY OTHER SPECIFIED TRANQUILIZERS	E8538	NoDx	11000
ICD9	863.39	OTHER INJURY TO SMALL INTESTINE WITH OPEN WOUND INTO CAVITY	86339	S36408A	10111
ICD9	957.1	INJURY TO OTHER SPECIFIED NERVE(S)	9571	S149XXA	10000
ICD9	719.85	OTHER SPECIFIED DISORDERS OF JOINT OF PELVIC REGION AND THIGH	71985	M25159	10000
ICD9	V54.11	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER ARM	V5411	S42465D	10000
ICD9	401.1	BENIGN ESSENTIAL HYPERTENSION	4011	I10	10000
ICD9	989.89	TOXIC EFFECT OF OTHER SUBSTANCES, CHIEFLY NONMEDICINAL AS TO SOURCE	98989	T655X3A	10000
ICD9	800.26	CLOSED FRACTURE OF VAULT OF SKULL WITH SUBARACHNOID, SUBDURAL, AND EXTRADURAL HEMORRHAGE, WITH LOSS OF CONSCIOUSNESS OF UNSPECIFIED DURATION	80026	S065X9A	10112
ICD9	917.1	ABRASION OR FRICTION BURN OF FOOT AND TOE(S), INFECTED	9171	S90416A	10111
ICD9	867.6	INJURY TO OTHER SPECIFIED PELVIC ORGANS WITHOUT MENTION OF OPEN WOUND INTO CAVITY	8676	S37829A	10000
ICD9	711.90	UNSPECIFIED INFECTIVE ARTHRITIS, SITE UNSPECIFIED	71190	M01X0	10000
ICD9	V59.2	BONE DONORS	V592	Z5220	10000
ICD9	V62.2	OTHER OCCUPATIONAL CIRCUMSTANCES OR MALADJUSTMENT	V6229	Z561	10000
ICD9	091.50	SYPHILITIC UVEITIS, UNSPECIFIED	09150	A5143	10000
ICD9	694.4	PEMPHIGUS	6944	L104	10000
ICD9	568.89	OTHER SPECIFIED DISORDERS OF PERITONEUM	56889	K689	10000
ICD9	718.84	OTHER JOINT DERANGEMENT, NOT ELSEWHERE CLASSIFIED, INVOLVING HAND	71884	M24849	10000
ICD9	975.8	POISONING BY OTHER AND UNSPECIFIED RESPIRATORY DRUGS	9758	T48902A	10000
ICD9	372.06	Acute Chemical Conjunctivitis	37206	H10219	10000
ICD9	567.8	OTHER SPECIFIED PERITONITIS	56789	K658	10000
ICD9	V54.11	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER ARM	V5411	S49009D	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62122D	10000
ICD9	944.53	Deep necrosis of underlying tissues due to burn [deep third degree] of two or more digits of hand, not including thumb, with loss of a body part	94453	T23739A	10000
ICD9	295.20	CATATONIC TYPE SCHIZOPHRENIA, UNSPECIFIED STATE	29520	F202	10000
ICD9	275.3	DISORDERS OF PHOSPHORUS METABOLISM	2753	E8332	10000
ICD9	919.3	BLISTER OF OTHER, MULTIPLE, AND UNSPECIFIED SITES, INFECTED	9193	L0889	10112
ICD9	786.09	OTHER DYSPNEA AND RESPIRATORY ABNORMALITY	78609	R0683	10000
ICD9	772	FETAL AND NEONATAL HEMORRHAGE	7720	P504	10000
ICD9	E009.9	Other Activities Involving Other Cardiorespiratory Exercise	E0099	Y93A9	00000
ICD9	711.77	ARTHROPATHY INVOLVING ANKLE AND FOOT ASSOCIATED WITH HELMINTHIASIS	71177	M01X79	10000
ICD9	634.70	SPONTANEOUS ABORTION, UNSPECIFIED, WITH OTHER SPECIFIED COMPLICATIONS	63470	O0386	10000
ICD9	803.40	OTHER CLOSED SKULL FRACTURE WITH INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE, WITH STATE OF CONSCIOUSNESS UNSPECIFIED	80340	S06890A	10112
ICD9	372.72	CONJUNCTIVAL HEMORRHAGE	37272	H1133	10000
ICD9	890.2	OPEN WOUND OF HIP AND THIGH, WITH TENDON INVOLVEMENT	8902	S76929A	10111
ICD9	747.8	OTHER SPECIFIED CONGENITAL ANOMALIES OF CIRCULATORY SYSTEM	74789	Q288	10000
ICD9	656.63	Excessive fetal growth affecting management of mother, antepartum condition or complication	65663	O3661X0	10000
ICD9	719.07	EFFUSION OF ANKLE AND FOOT JOINT	71907	M25476	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82161D	10000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F18288	10000
ICD9	V70.5	HEALTH EXAMINATION OF DEFINED SUBPOPULATIONS	V705	Z023	10000
ICD9	731.3	Major osseous defects	7313	M8970	10000
ICD9	V54.10	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF ARM, UNSPECIFIED	V5410	S5290XD	10000
ICD9	813.04	OTHER AND UNSPECIFIED CLOSED FRACTURES OF PROXIMAL END OF ULNA (ALONE)	81304	S52099A	10000
ICD9	E857	ACCIDENTAL POISONING BY OTHER ANTI-INFECTIVES	E857	NoDx	11000
ICD9	V26.49	Other procreative management counseling and advice	V2649	Z3169	00000
ICD9	041.1	STAPHYLOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE	04110	B958	10000
ICD9	296.24	MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, SEVERE DEGREE, SPECIFIED AS WITH PSYCHOTIC BEHAVIOR	29624	F323	10000
ICD9	779.81	NEONATAL BRADYCARDIA	77981	P2912	00000
ICD9	924.9	CONTUSION OF UNSPECIFIED SITE	9249	T1490XA	10000
ICD9	E929	LATE EFFECTS OF ACCIDENTAL INJURY	E9290	V874XXS	10000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F15281	10000
ICD9	271.2	HEREDITARY FRUCTOSE INTOLERANCE	2712	E7412	10000
ICD9	711.86	ARTHROPATHY INVOLVING LOWER LEG ASSOCIATED WITH OTHER INFECTIOUS AND PARASITIC DISEASES	71186	M01X69	10000
ICD9	658.81	Other problems associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition	65881	O418X10	10000
ICD9	V54.11	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER ARM	V5411	S42101D	10000
ICD9	801.25	CLOSED FRACTURE OF BASE OF SKULL WITH SUBARACHNOID, SUBDURAL, AND EXTRADURAL HEMORRHAGE, WITH PROLONGED [MORE THAN 24 HOURS] LOSS OF CONSCIOUSNESS, WITHOUT RETURN TO PRE-EXISTING CONSCIOUS LEVEL	80125	S066X7A	10112
ICD9	388.30	TINNITUS, UNSPECIFIED	38830	H9319	10000
ICD9	619.2	GENITAL TRACT-SKIN FISTULA, FEMALE	6192	N825	00000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62524D	10000
ICD9	444.8	EMBOLISM AND THROMBOSIS OF OTHER SPECIFIED ARTERY	44489	I748	00000
ICD9	459.0	HEMORRHAGE, UNSPECIFIED	4590	R58	00000
ICD9	812.3	FRACTURE OF SHAFT OR UNSPECIFIED PART OF HUMERUS, OPEN	81230	S42309B	10000
ICD9	V65.42	COUNSELING ON SUBSTANCE USE AND ABUSE	V6542	Z7141	10000
ICD9	292.89	OTHER SPECIFIED DRUG-INDUCED MENTAL DISORDERS	29289	F12959	10000
ICD9	812.02	FRACTURE OF ANATOMICAL NECK OF HUMERUS, CLOSED	81202	S42295A	10000
ICD9	415.11	IATROGENIC PULMONARY EMBOLISM AND INFARCTION	41511	T82818A	10111
ICD9	995.29	Unspecified adverse effect of other drug, medicinal and biological substance	99529	T402X5A	10000
ICD9	989.4	TOXIC EFFECT OF OTHER PESTICIDES, NOT ELSEWHERE CLASSIFIED	9894	T601X1A	10000
ICD9	V85.1	Body Mass Index between 19-24, adult	V851	Z6821	10000
ICD9	751.3	HIRSCHSPRUNG'S DISEASE AND OTHER CONGENITAL FUNCTIONAL DISORDERS OF COLON	7513	Q431	10000
ICD9	905.0	LATE EFFECT OF FRACTURE OF SKULL AND FACE BONES	9050	S02400S	10000
ICD9	945.03	BURN OF UNSPECIFIED DEGREE OF ANKLE	94503	T25419A	10000
ICD9	620.5	TORSION OF OVARY, OVARIAN PEDICLE, OR FALLOPIAN TUBE	6205	N8353	10000
ICD9	944.1	ERYTHEMA DUE TO BURN [FIRST DEGREE] OF WRIST(S) AND HAND(S)	94410	T23109A	10000
ICD9	V02.60	VIRAL HEPATITIS CARRIER, UNSPECIFIED	V0260	NoDx	11000
ICD9	955.5	INJURY TO CUTANEOUS SENSORY NERVE, UPPER LIMB	9555	S4450XA	10000
ICD9	274.03	Chronic Gouty Arthropathy with Tophus (Tophi)	27403	M1A40X1	10000
ICD9	719.45	PAIN IN JOINT INVOLVING PELVIC REGION AND THIGH	71945	M25559	10000
ICD9	952.05	C(5)-C(7) LEVEL SPINAL CORD INJURY, UNSPECIFIED	95205	S14108A	10000
ICD9	E944.5	ELECTROLYTIC, CALORIC, AND WATER-BALANCE AGENTS CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE	E9445	NoDx	11000
